events;organisateurs;invites;debutDate;debutHeure;finDate;finHeure
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
event1;organisateur1@gmail.com,organisateur2@gmail.com;invite1@gmail.com,invite1@gmail.com;2023-09-13T12:44:29;Romance Standard Time;2023-09-13T12:44:29;Romance Standard Time
